pitch_type,start_speed,px,pz,des,stand
FF,92,0.461,1.826,Swinging Strike,L
SL,86,0.051,2.438,Swinging Strike,R
SL,87.3,-0.889,2.106,Swinging Strike,R
SL,86.4,-0.722,1.178,Swinging Strike,R
SL,88.4,1.306,2.083,Swinging Strike,R
SL,87.3,-0.046,1.416,Swinging Strike,R
SL,87.7,-0.319,1.626,Swinging Strike,R
SL,84.1,0.248,2.306,Swinging Strike,R
FF,92,1.109,3.087,Swinging Strike,R
SL,87,0.361,2,Swinging Strike,R
SL,85.1,0.071,1.789,Swinging Strike,L
CU,72.3,-0.086,2.573,Swinging Strike,L
SL,85.6,0.056,0.744,Swinging Strike,R
