"","pitch_type","start_speed","px","pz","des","stand"
"1","FF",92,0.461,1.826,"Swinging Strike","L"
"2","SL",86,0.051,2.438,"Swinging Strike","R"
"3","SL",87.3,-0.889,2.106,"Swinging Strike","R"
"4","SL",86.4,-0.722,1.178,"Swinging Strike","R"
"5","SL",88.4,1.306,2.083,"Swinging Strike","R"
"6","SL",87.3,-0.046,1.416,"Swinging Strike","R"
"7","SL",87.7,-0.319,1.626,"Swinging Strike","R"
"8","SL",84.1,0.248,2.306,"Swinging Strike","R"
"9","FF",92,1.109,3.087,"Swinging Strike","R"
"10","SL",87,0.361,2,"Swinging Strike","R"
"11","SL",85.1,0.071,1.789,"Swinging Strike","L"
"12","CU",72.3,-0.086,2.573,"Swinging Strike","L"
"13","SL",85.6,0.056,0.744,"Swinging Strike","R"
